121,357
667,105
450,329
338,135
685,193
121,353
338,136
121,355
725,245
362,365
878,23
121,362
473,667
812,877
706,836
121,345
812,880
29,229
11,700
402,402
444,171
537,405
537,403
174,520
53,466
256,318
497,340
53,465
285,840
77,105
58,738
30,129
918,377
473,642
748,564
237,932
812,859
121,368
280,572
121,367
121,363
280,574
121,366
121,365
280,575
285,854
420,494
314,434
362,362
82,932
426,114
426,113
425,791
121,371
878,35
121,373
121,372
351,5
351,1
995,712
115,166
420,464
198,229
549,287
549,288
256,365
115,170
83,318
314,495
917,974
420,474
64,914
115,152
338,183
115,155
64,918
549,296
332,499
549,298
549,299
426,133
256,356
426,130
121,395
83,308
308,256
64,926
82,963
285,809
198,207
198,200
812,812
480,211
198,204
198,205
419,591
198,202
198,203
232,608
420,458
47,251
115,171
285,812
115,172
480,223
480,221
168,399
53,486
812,826
83,355
549,248
216,15
3,408
813,275
3,405
936,350
707,232
655,280
103,352
3,412
226,434
325,945
661,420
813,280
1000,918
198,258
425,705
204,51
397,546
103,321
103,320
549,268
226,419
325,962
917,918
133,183
549,274
133,179
356,121
549,276
35,486
216,45
917,908
83,329
906,533
77,166
12,141
83,395
133,171
133,172
520,281
332,421
133,168
133,169
133,166
280,515
373,812
707,267
525,525
549,215
133,162
549,218
133,155
649,121
549,212
707,265
216,64
655,231
53,420
607,365
83,373
519,405
297,696
661,459
655,223
549,221
525,510
226,443
181,103
12,121
181,104
83,365
419,526
906,546
83,366
525,505
707,247
525,504
133,135
520,286
133,136
133,133
326,325
326,326
685,175
661,440
661,441
53,403
525,500
226,459
607,420
678,678
268,221
268,223
268,222
268,227
573,525
91,91
462,212
607,421
11,7
17,313
978,165
17,312
41,546
17,311
17,310
17,317
17,316
59,192
17,315
17,314
11,8
65,231
17,309
17,308
17,307
91,89
133,232
114,725
931,159
162,643
17,341
374,166
17,340
83,296
931,158
83,290
83,292
221,226
655,301
265,19
290,16
332,407
253,20
380,440
253,21
83,288
162,654
83,283
268,212
83,285
83,280
268,215
65,257
543,576
519,315
519,316
573,566
95,206
95,207
59,160
221,248
95,204
95,205
8,672
95,203
95,200
65,264
95,201
41,593
443,725
138,420
3,323
253,87
253,80
133,208
133,206
103,389
226,518
502,301
265,61
221,256
65,275
467,418
103,395
103,392
169,96
356,107
548,816
356,106
901,137
182,60
392,296
268,248
286,174
65,282
65,280
3,303
253,62
103,368
194,59
467,434
194,54
194,55
95,214
103,377
221,280
2,990
65,294
607,419
65,291
496,922
520,208
103,378
461,819
115,128
66,64
115,121
537,473
115,123
502,358
91,11
290,79
450,292
450,295
314,507
151,261
597,282
197,908
115,113
54,89
115,115
54,88
115,116
537,486
450,280
66,66
66,67
30,172
95,232
491,695
54,96
121,411
420,402
420,409
121,419
286,126
377,0
377,1
115,142
115,145
537,459
450,275
290,99
138,481
115,135
537,460
573,573
121,401
268,295
286,138
262,402
719,121
450,256
286,137
238,211
238,210
121,404
859,963
59,132
151,251
59,138
59,137
678,627
121,434
121,433
238,242
238,241
17,363
121,432
132,807
238,244
17,366
238,243
543,543
121,438
859,971
249,859
249,856
121,425
772,772
121,420
450,232
30,135
30,136
